tid,distance,hastighet,acceleration
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0.00130847,0.002616941,0.000523388
0.6,0.00130847,0.002180784,0.000363464
0.7,0.00130847,0.001869243,0.000267035
0.8,0.002616941,0.003271176,0.000408897
0.9,0.006542351,0.007269279,0.000807698
1,0.013084703,0.013084703,0.00130847
1.1,0.019627054,0.017842777,0.001622071
1.2,0.027477876,0.02289823,0.001908186
1.3,0.036637168,0.028182437,0.00216788
1.4,0.04579646,0.032711757,0.002336554
1.5,0.056264223,0.037509482,0.002500632
1.6,0.068040455,0.042525284,0.00265783
1.7,0.082433628,0.04849037,0.002852375
1.8,0.096826802,0.053792668,0.002988482
1.9,0.111219975,0.058536829,0.003080886
2,0.126921618,0.063460809,0.00317304
2.1,0.142623262,0.067915839,0.003234088
2.2,0.160941846,0.073155384,0.003325245
2.3,0.17926043,0.077939317,0.003388666
2.4,0.198887484,0.082869785,0.003452908
2.5,0.218514539,0.087405815,0.003496233
2.6,0.240758534,0.092599436,0.003561517
2.7,0.261694058,0.096923725,0.003589768
2.8,0.285246523,0.101873758,0.003638349
2.9,0.307490518,0.106031213,0.003656249
3,0.333659924,0.111219975,0.003707332
3.1,0.362446271,0.116918152,0.003771553
3.2,0.388615676,0.121442399,0.003795075
3.3,0.417402023,0.126485461,0.003832893
3.4,0.444879899,0.130847029,0.003848442
3.5,0.474974716,0.135707062,0.003877345
3.6,0.505069532,0.140297092,0.003897141
3.7,0.536472819,0.144992654,0.00391872
3.8,0.569184576,0.149785415,0.003941721
3.9,0.600587863,0.153996888,0.003948638
4,0.635916561,0.15897914,0.003974479
4.1,0.660777497,0.161165243,0.00393086
4.2,0.694797724,0.16542803,0.003938763
4.3,0.728817952,0.169492547,0.003941687
4.4,0.770689001,0.175156591,0.003980832
4.5,0.802092288,0.178242731,0.00396095
4.6,0.840037927,0.182616941,0.003969933
4.7,0.872749684,0.185691422,0.003950881
4.8,0.889759798,0.185366625,0.003861805
4.9,0.889759798,0.181583632,0.003705788
5,0.889759798,0.17795196,0.003559039
5.1,0.889759798,0.174462705,0.003420837
5.2,0.889759798,0.171107653,0.003290532
5.3,0.888451327,0.167632326,0.003162874
5.4,0.887142857,0.164285714,0.003042328
5.5,0.884525917,0.160822894,0.002924053
5.6,0.879292035,0.157016435,0.002803865
5.7,0.872749684,0.15311398,0.00268621
5.8,0.866207332,0.149346092,0.002574933
5.9,0.858356511,0.145484154,0.002465833
6,0.849197219,0.14153287,0.002358881
6.1,0,0,0
6.2,0,0,0
6.3,0,0,0
6.4,0,0,0
6.5,0,0,0
6.6,0,0,0
6.7,0,0,0
6.8,0,0,0
6.9,0,0,0
7,0,0,0
7.1,0,0,0
7.2,0,0,0
7.3,0,0,0
7.4,0,0,0
7.5,0,0,0
7.6,0,0,0
7.7,0,0,0
7.8,0,0,0
7.9,0,0,0
8,0,0,0
8.1,0,0,0
8.2,0,0,0
8.3,0,0,0
8.4,0,0,0
8.5,0,0,0
8.6,0,0,0
8.7,0,0,0
8.8,0,0,0
8.9,0,0,0
9,0,0,0
9.1,0,0,0
9.2,0,0,0
9.3,0,0,0
9.4,0,0,0
9.5,0,0,0
9.6,0,0,0
9.7,0,0,0
9.8,0,0,0
9.9,0,0,0
10,0,0,0
10.1,0,0,0
10.2,0,0,0
10.3,0,0,0
10.4,0,0,0
10.5,0,0,0
10.6,0,0,0
10.7,0,0,0
10.8,0,0,0
